Sample_Id	Participant_Id	Habitat [ENVO_01000739]	Host body product [UBERON_0000463]	Host body site [UBERON_0000061]	Phase [EUPATH_0009332]	Sample type [OBI_0100051]
SRR9843650	SRR9843650 (Source)	Colon	Feces	colon	24	Stool
SRR9843651	SRR9843651 (Source)	colon	feces	colon	24	stool
SRR9843652	SRR9843652 (Source)	colon	feces	colon	0	stool
SRR9843653	SRR9843653 (Source)	colon	feces	colon	0	stool
SRR9843654	SRR9843654 (Source)	colon	feces	colon	0	stool
SRR9843655	SRR9843655 (Source)	colon	feces	colon	24	stool
SRR9843656	SRR9843656 (Source)	colon	feces	colon	0	stool
SRR9843657	SRR9843657 (Source)	colon	feces	colon	24	stool
SRR9843658	SRR9843658 (Source)	colon	feces	colon	24	stool
SRR9843659	SRR9843659 (Source)	colon	feces	colon	24	stool
SRR9843660	SRR9843660 (Source)	colon	feces	colon	0	stool
SRR9843661	SRR9843661 (Source)	colon	feces	colon	24	stool
SRR9843662	SRR9843662 (Source)	colon	feces	colon	0	stool
SRR9843663	SRR9843663 (Source)	colon	feces	colon	0	stool
SRR9843664	SRR9843664 (Source)	colon	feces	colon	24	stool
SRR9843665	SRR9843665 (Source)	colon	feces	colon	0	stool
SRR9843666	SRR9843666 (Source)	colon	feces	colon	0	stool
SRR9843667	SRR9843667 (Source)	colon	feces	colon	24	stool
SRR9843668	SRR9843668 (Source)	colon	feces	colon	24	stool
SRR9843669	SRR9843669 (Source)	colon	feces	colon	24	stool
SRR9843670	SRR9843670 (Source)	colon	feces	colon	0	stool
SRR9843671	SRR9843671 (Source)	colon	feces	colon	0	stool
SRR9843672	SRR9843672 (Source)	colon	feces	colon	24	stool
SRR9843673	SRR9843673 (Source)	colon	feces	colon	0	stool
SRR9843674	SRR9843674 (Source)	colon	feces	colon	0	stool
SRR9843675	SRR9843675 (Source)	colon	feces	colon	24	stool
SRR9843676	SRR9843676 (Source)	colon	feces	colon	24	stool
SRR9843677	SRR9843677 (Source)	colon	feces	colon	0	stool
SRR9843678	SRR9843678 (Source)	colon	feces	colon	24	stool
SRR9843679	SRR9843679 (Source)	colon	feces	colon	0	stool
SRR9843680	SRR9843680 (Source)	colon	feces	colon	24	stool
SRR9843681	SRR9843681 (Source)	colon	feces	colon	24	stool
SRR9843682	SRR9843682 (Source)	colon	feces	colon	0	stool
SRR9843683	SRR9843683 (Source)	colon	feces	colon	0	stool
SRR9843684	SRR9843684 (Source)	colon	feces	colon	0	stool
SRR9843685	SRR9843685 (Source)	colon	feces	colon	0	stool
SRR9843686	SRR9843686 (Source)	colon	feces	colon	0	stool
SRR9843687	SRR9843687 (Source)	colon	feces	colon	24	stool
SRR9843688	SRR9843688 (Source)	colon	feces	colon	24	stool
SRR9843689	SRR9843689 (Source)	colon	feces	colon	24	stool
SRR9843690	SRR9843690 (Source)	colon	feces	colon	24	stool
SRR9843691	SRR9843691 (Source)	colon	feces	colon	24	stool
SRR9843692	SRR9843692 (Source)	colon	feces	colon	0	stool
SRR9843693	SRR9843693 (Source)	colon	feces	colon	24	stool
SRR9843694	SRR9843694 (Source)	colon	feces	colon	0	stool
SRR9843695	SRR9843695 (Source)	colon	feces	colon	24	stool
SRR9843696	SRR9843696 (Source)	colon	feces	colon	0	stool
SRR9843697	SRR9843697 (Source)	colon	feces	colon	0	stool
SRR9843698	SRR9843698 (Source)	colon	feces	colon	24	stool
SRR9843699	SRR9843699 (Source)	colon	feces	colon	24	stool
SRR9843700	SRR9843700 (Source)	colon	feces	colon	0	stool
SRR9843701	SRR9843701 (Source)	colon	feces	colon	24	stool
SRR9843702	SRR9843702 (Source)	colon	feces	colon	24	stool
SRR9843703	SRR9843703 (Source)	colon	feces	colon	0	stool
SRR9843704	SRR9843704 (Source)	colon	feces	colon	24	stool
SRR9843705	SRR9843705 (Source)	colon	feces	colon	24	stool
SRR9843706	SRR9843706 (Source)	colon	feces	colon	0	stool
SRR9843707	SRR9843707 (Source)	colon	feces	colon	0	stool
SRR9843708	SRR9843708 (Source)	colon	feces	colon	0	stool
SRR9843709	SRR9843709 (Source)	colon	feces	colon	0	stool
SRR9843710	SRR9843710 (Source)	colon	feces	colon	0	stool
SRR9843711	SRR9843711 (Source)	colon	feces	colon	0	stool
SRR9843712	SRR9843712 (Source)	colon	feces	colon	24	stool
SRR9843713	SRR9843713 (Source)	colon	feces	colon	0	stool
SRR9843714	SRR9843714 (Source)	colon	feces	colon	24	stool
SRR9843715	SRR9843715 (Source)	colon	feces	colon	0	stool
SRR9843716	SRR9843716 (Source)	colon	feces	colon	0	stool
SRR9843717	SRR9843717 (Source)	colon	feces	colon	0	stool
SRR9843718	SRR9843718 (Source)	colon	feces	colon	0	stool
SRR9843719	SRR9843719 (Source)	colon	feces	colon	0	stool
SRR9843720	SRR9843720 (Source)	colon	feces	colon	0	stool
SRR9843721	SRR9843721 (Source)	colon	feces	colon	0	stool
SRR9843722	SRR9843722 (Source)	colon	feces	colon	0	stool
SRR9843723	SRR9843723 (Source)	colon	feces	colon	0	stool
SRR9843724	SRR9843724 (Source)	colon	feces	colon	24	stool
SRR9843725	SRR9843725 (Source)	colon	feces	colon	0	stool
SRR9843726	SRR9843726 (Source)	colon	feces	colon	0	stool
SRR9843727	SRR9843727 (Source)	colon	feces	colon	0	stool
SRR9843728	SRR9843728 (Source)	colon	feces	colon	0	stool
SRR9843729	SRR9843729 (Source)	colon	feces	colon	24	stool
SRR9843730	SRR9843730 (Source)	colon	feces	colon	24	stool
SRR9843731	SRR9843731 (Source)	colon	feces	colon	0	stool
SRR9843732	SRR9843732 (Source)	colon	feces	colon	24	stool
SRR9843733	SRR9843733 (Source)	colon	feces	colon	24	stool
SRR9843734	SRR9843734 (Source)	colon	feces	colon	24	stool
SRR9843735	SRR9843735 (Source)	colon	feces	colon	24	stool
SRR9843736	SRR9843736 (Source)	colon	feces	colon	0	stool
SRR9843737	SRR9843737 (Source)	colon	feces	colon	0	stool
SRR9843738	SRR9843738 (Source)	colon	feces	colon	24	stool
SRR9843739	SRR9843739 (Source)	colon	feces	colon	24	stool
SRR9843740	SRR9843740 (Source)	colon	feces	colon	24	stool
SRR9843741	SRR9843741 (Source)	colon	feces	colon	0	stool
SRR9843742	SRR9843742 (Source)	colon	feces	colon	24	stool
SRR9843743	SRR9843743 (Source)	colon	feces	colon	24	stool
SRR9843744	SRR9843744 (Source)	colon	feces	colon	24	stool
SRR9843745	SRR9843745 (Source)	colon	feces	colon	0	stool
SRR9843746	SRR9843746 (Source)	colon	feces	colon	0	stool
SRR9843747	SRR9843747 (Source)	colon	feces	colon	24	stool
SRR9843748	SRR9843748 (Source)	colon	feces	colon	0	stool
SRR9843749	SRR9843749 (Source)	colon	feces	colon	24	stool
SRR9843750	SRR9843750 (Source)	colon	feces	colon	0	stool
SRR9843751	SRR9843751 (Source)	colon	feces	colon	0	stool
SRR9843752	SRR9843752 (Source)	colon	feces	colon	0	stool
SRR9843753	SRR9843753 (Source)	colon	feces	colon	24	stool
SRR9843754	SRR9843754 (Source)	colon	feces	colon	24	stool
SRR9843755	SRR9843755 (Source)	colon	feces	colon	0	stool
SRR9843756	SRR9843756 (Source)	colon	feces	colon	0	stool
SRR9843757	SRR9843757 (Source)	colon	feces	colon	0	stool
SRR9843758	SRR9843758 (Source)	colon	feces	colon	24	stool
SRR9843759	SRR9843759 (Source)	colon	feces	colon	0	stool
SRR9843760	SRR9843760 (Source)	colon	feces	colon	24	stool
SRR9843761	SRR9843761 (Source)	colon	feces	colon	24	stool
SRR9843762	SRR9843762 (Source)	colon	feces	colon	24	stool
SRR9843763	SRR9843763 (Source)	colon	feces	colon	24	stool
SRR9843764	SRR9843764 (Source)	colon	feces	colon	24	stool
SRR9843765	SRR9843765 (Source)	colon	feces	colon	24	stool
SRR9843766	SRR9843766 (Source)	colon	feces	colon	0	stool
SRR9843767	SRR9843767 (Source)	colon	feces	colon	24	stool
SRR9843768	SRR9843768 (Source)	colon	feces	colon	24	stool
SRR9843769	SRR9843769 (Source)	colon	feces	colon	0	stool
SRR9843770	SRR9843770 (Source)	colon	feces	colon	24	stool
SRR9843771	SRR9843771 (Source)	colon	feces	colon	0	stool
SRR9843772	SRR9843772 (Source)	colon	feces	colon	24	stool
SRR9843773	SRR9843773 (Source)	colon	feces	colon	24	stool
SRR9843774	SRR9843774 (Source)	colon	feces	colon	24	stool
SRR9843775	SRR9843775 (Source)	colon	feces	colon	24	stool
SRR9843776	SRR9843776 (Source)	colon	feces	colon	24	stool
SRR9843777	SRR9843777 (Source)	colon	feces	colon	24	stool
SRR9843778	SRR9843778 (Source)	colon	feces	colon	24	stool
SRR9843779	SRR9843779 (Source)	colon	feces	colon	24	stool
SRR9843780	SRR9843780 (Source)	colon	feces	colon	24	stool
SRR9843781	SRR9843781 (Source)	colon	feces	colon	24	stool
SRR9843782	SRR9843782 (Source)	colon	feces	colon	24	stool
SRR9843783	SRR9843783 (Source)	colon	feces	colon	0	stool
SRR9843784	SRR9843784 (Source)	colon	feces	colon	24	stool
SRR9843785	SRR9843785 (Source)	colon	feces	colon	0	stool
SRR9843786	SRR9843786 (Source)	colon	feces	colon	0	stool
SRR9843787	SRR9843787 (Source)	colon	feces	colon	0	stool
SRR9843788	SRR9843788 (Source)	colon	feces	colon	24	stool
SRR9843789	SRR9843789 (Source)	colon	feces	colon	0	stool
SRR9843790	SRR9843790 (Source)	colon	feces	colon	0	stool
SRR9843791	SRR9843791 (Source)	colon	feces	colon	24	stool
SRR9843792	SRR9843792 (Source)	colon	feces	colon	0	stool
SRR9843793	SRR9843793 (Source)	colon	feces	colon	0	stool
SRR9843794	SRR9843794 (Source)	colon	feces	colon	0	stool
SRR9843795	SRR9843795 (Source)	colon	feces	colon	0	stool
SRR9843796	SRR9843796 (Source)	colon	feces	colon	0	stool
SRR9843797	SRR9843797 (Source)	colon	feces	colon	24	stool
SRR9843798	SRR9843798 (Source)	colon	feces	colon	24	stool
SRR9843799	SRR9843799 (Source)	colon	feces	colon	24	stool
SRR9843800	SRR9843800 (Source)	colon	feces	colon	24	stool
SRR9843801	SRR9843801 (Source)	colon	feces	colon	24	stool
SRR9843802	SRR9843802 (Source)	colon	feces	colon	0	stool
SRR9843803	SRR9843803 (Source)	colon	feces	colon	24	stool
SRR9843804	SRR9843804 (Source)	colon	feces	colon	24	stool
SRR9843805	SRR9843805 (Source)	colon	feces	colon	0	stool
SRR9843806	SRR9843806 (Source)	colon	feces	colon	24	stool
SRR9843807	SRR9843807 (Source)	colon	feces	colon	24	stool
SRR9843808	SRR9843808 (Source)	colon	feces	colon	24	stool
SRR9843809	SRR9843809 (Source)	colon	feces	colon	24	stool
SRR9843810	SRR9843810 (Source)	colon	feces	colon	24	stool
SRR9843811	SRR9843811 (Source)	colon	feces	colon	24	stool
SRR9843812	SRR9843812 (Source)	colon	feces	colon	24	stool
SRR9843813	SRR9843813 (Source)	colon	feces	colon	24	stool
SRR9843814	SRR9843814 (Source)	colon	feces	colon	24	stool
SRR9843815	SRR9843815 (Source)	colon	feces	colon	0	stool
SRR9843816	SRR9843816 (Source)	colon	feces	colon	24	stool
SRR9843817	SRR9843817 (Source)	colon	feces	colon	0	stool
SRR9843818	SRR9843818 (Source)	colon	feces	colon	0	stool
SRR9843819	SRR9843819 (Source)	colon	feces	colon	24	stool
SRR9843820	SRR9843820 (Source)	colon	feces	colon	0	stool
SRR9843821	SRR9843821 (Source)	colon	feces	colon	24	stool
SRR9843822	SRR9843822 (Source)	colon	feces	colon	24	stool
SRR9843823	SRR9843823 (Source)	colon	feces	colon	24	stool
SRR9843824	SRR9843824 (Source)	colon	feces	colon	0	stool
SRR9843825	SRR9843825 (Source)	colon	feces	colon	0	stool
SRR9843826	SRR9843826 (Source)	colon	feces	colon	0	stool
SRR9843827	SRR9843827 (Source)	colon	feces	colon	0	stool
SRR9843828	SRR9843828 (Source)	colon	feces	colon	24	stool
SRR9843829	SRR9843829 (Source)	colon	feces	colon	24	stool
SRR9843830	SRR9843830 (Source)	colon	feces	colon	24	stool
SRR9843831	SRR9843831 (Source)	colon	feces	colon	0	stool
SRR9843832	SRR9843832 (Source)	colon	feces	colon	0	stool
SRR9843833	SRR9843833 (Source)	colon	feces	colon	24	stool
SRR9843834	SRR9843834 (Source)	colon	feces	colon	0	stool
SRR9843835	SRR9843835 (Source)	colon	feces	colon	0	stool
SRR9843836	SRR9843836 (Source)	colon	feces	colon	24	stool
SRR9843837	SRR9843837 (Source)	colon	feces	colon	0	stool
SRR9843838	SRR9843838 (Source)	colon	feces	colon	0	stool
SRR9843839	SRR9843839 (Source)	colon	feces	colon	0	stool
SRR9843840	SRR9843840 (Source)	colon	feces	colon	24	stool
SRR9843841	SRR9843841 (Source)	colon	feces	colon	0	stool
SRR9843842	SRR9843842 (Source)	colon	feces	colon	24	stool
SRR9843843	SRR9843843 (Source)	colon	feces	colon	24	stool
SRR9843844	SRR9843844 (Source)	colon	feces	colon	24	stool
SRR9843845	SRR9843845 (Source)	colon	feces	colon	0	stool
SRR9843846	SRR9843846 (Source)	colon	feces	colon	24	stool
SRR9843847	SRR9843847 (Source)	colon	feces	colon	0	stool
SRR9843848	SRR9843848 (Source)	colon	feces	colon	24	stool
SRR9843849	SRR9843849 (Source)	colon	feces	colon	0	stool
SRR9843850	SRR9843850 (Source)	colon	feces	colon	24	stool
SRR9843851	SRR9843851 (Source)	colon	feces	colon	24	stool
SRR9843852	SRR9843852 (Source)	colon	feces	colon	0	stool
SRR9843853	SRR9843853 (Source)	colon	feces	colon	0	stool
SRR9843854	SRR9843854 (Source)	colon	feces	colon	24	stool
SRR9843855	SRR9843855 (Source)	colon	feces	colon	0	stool
SRR9843856	SRR9843856 (Source)	colon	feces	colon	24	stool
SRR9843857	SRR9843857 (Source)	colon	feces	colon	0	stool
SRR9843858	SRR9843858 (Source)	colon	feces	colon	0	stool
SRR9843859	SRR9843859 (Source)	colon	feces	colon	24	stool
SRR9843860	SRR9843860 (Source)	colon	feces	colon	24	stool
SRR9843861	SRR9843861 (Source)	colon	feces	colon	0	stool
SRR9843862	SRR9843862 (Source)	colon	feces	colon	24	stool
SRR9843863	SRR9843863 (Source)	colon	feces	colon	0	stool
SRR9843864	SRR9843864 (Source)	colon	feces	colon	0	stool
SRR9843865	SRR9843865 (Source)	colon	feces	colon	24	stool
SRR9843866	SRR9843866 (Source)	colon	feces	colon	24	stool
SRR9843867	SRR9843867 (Source)	colon	feces	colon	24	stool
SRR9843868	SRR9843868 (Source)	colon	feces	colon	24	stool
SRR9843869	SRR9843869 (Source)	colon	feces	colon	0	stool
SRR9843870	SRR9843870 (Source)	colon	feces	colon	0	stool
SRR9843871	SRR9843871 (Source)	colon	feces	colon	0	stool
SRR9843872	SRR9843872 (Source)	colon	feces	colon	24	stool
SRR9843873	SRR9843873 (Source)	colon	feces	colon	24	stool
SRR9843874	SRR9843874 (Source)	colon	feces	colon	0	stool
SRR9843875	SRR9843875 (Source)	colon	feces	colon	0	stool
SRR9843876	SRR9843876 (Source)	colon	feces	colon	0	stool
SRR9843877	SRR9843877 (Source)	colon	feces	colon	0	stool
SRR9843878	SRR9843878 (Source)	colon	feces	colon	24	stool
SRR9843879	SRR9843879 (Source)	colon	feces	colon	0	stool
SRR9843880	SRR9843880 (Source)	colon	feces	colon	0	stool
SRR9843881	SRR9843881 (Source)	colon	feces	colon	24	stool
SRR9843882	SRR9843882 (Source)	colon	feces	colon	24	stool
SRR9843883	SRR9843883 (Source)	colon	feces	colon	0	stool
SRR9843884	SRR9843884 (Source)	colon	feces	colon	0	stool
SRR9843885	SRR9843885 (Source)	colon	feces	colon	24	stool
SRR9843886	SRR9843886 (Source)	colon	feces	colon	24	stool
SRR9843887	SRR9843887 (Source)	colon	feces	colon	0	stool
SRR9843888	SRR9843888 (Source)	colon	feces	colon	0	stool
